date,value
1828-01-01,0
1832-01-01,0
1836-01-01,0
1840-01-01,1
1844-01-01,0
1848-01-01,1
1852-01-01,0
1856-01-01,0
1860-01-01,1
1864-01-01,1
1868-01-01,1
1872-01-01,1
1876-01-01,1
1880-01-01,1
1884-01-01,0
1888-01-01,1
1892-01-01,0
1896-01-01,1
1900-01-01,1
1904-01-01,1
1908-01-01,1
1912-01-01,0
1916-01-01,0
1920-01-01,1
1924-01-01,1
1928-01-01,1
1932-01-01,0
1936-01-01,0
1940-01-01,0
1944-01-01,0
1948-01-01,0
1952-01-01,1
1956-01-01,1
1960-01-01,0
1964-01-01,0
1968-01-01,1
1972-01-01,1
1976-01-01,0
1980-01-01,1
1984-01-01,1
1988-01-01,1
1992-01-01,0
1996-01-01,0
2000-01-01,1
2004-01-01,1
2008-01-01,0
2012-01-01,0
2016-01-01,1
2020-01-01,0
